,size,speed,energy
0,446.267087151548,161.1846665412281,62.97408600621512
1,362.4759018685446,223.42435575307738,43.72578444540263
2,431.267087151548,176.1846665412281,11.557494914356141
3,431.267087151548,146.1846665412281,31.470111755638822
4,377.4759018685446,178.42435575307738,71.56887047172384
5,347.4759018685446,208.42435575307738,43.14529706707509
6,416.267087151548,191.1846665412281,10.53804856082435
7,431.267087151548,146.1846665412281,63.53077279115018
8,401.267087151548,116.1846665412281,47.05824430081334
9,431.267087151548,206.1846665412281,55.75370555968742
10,446.267087151548,131.1846665412281,68.6997662469416
11,461.267087151548,116.1846665412281,90.73833933556594
12,446.267087151548,191.1846665412281,31.028237307766336
13,362.4759018685446,193.42435575307738,36.35173347534649
14,377.4759018685446,208.42435575307738,37.4184543829392
15,386.267087151548,101.1846665412281,49.78714488078846
16,476.267087151548,131.1846665412281,73.26929418118755
17,416.267087151548,221.1846665412281,17.369631600122453
